# gunzip -c /home/sant1ago/Downloads/musc-demixing/data/tmp/lyric_seperation/beatiful/decode_results/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/chain_cleaned/tdnn_1d_sp/graph_tgsmall 
# Started at Wed Jun 22 02:01:43 +07 2022
#
At utterance begin, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,39.7,100) frames.
At utterance end, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (2,16.2,24) frames.
Overall, nonsilence accounts for 84.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.3,21) frames.
Overall, SIL accounts for 16.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,21.3,77) frames.
Overall, Y_B accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.9,7) frames.
Overall, UW1_E accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.7,19) frames.
Overall, HH_B accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.6,5) frames.
Overall, Z_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,9) frames.
Overall, EH1_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,13) frames.
Overall, L_E accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.1,9) frames.
Overall, R_B accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.0,9) frames.
Overall, R_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (2,4.9,12) frames.
Overall, W_B accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (4,3.6,5) frames.
Overall, L_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,9) frames.
Overall, OW1_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,16.8,27) frames.
Overall, R_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.8,11) frames.
Overall, V_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.9,6) frames.
Overall, N_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.9,15) frames.
Overall, S_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.8,10) frames.
Overall, M_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.2,9) frames.
Overall, DH_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.2,4) frames.
